municipio,atracao
Itutinga,"Cachoeira das Andorinhas"
Itutinga,"Cachoeira do Raulino"
Itutinga,"Igreja Matriz de Santo Antônio de Pádua"
Itutinga,"Represa Camargos"
Jesuânia,"Igreja de Nosso Senhor do Bom Jesus"
"Lagoa Dourada","Fazenda do Engenho"
"Lagoa Dourada","Festa do Rocambole - Lagoa Dourada"
"Lagoa Dourada","Igreja Matriz de Santo Antônio"
"Lagoa Dourada","Rocambole - Lagoa Dourada"
Lambari,"Cassino do Lago"
Lambari,"Fonte Luminosa"
Lambari,"Parque Estadual Nova Baden"
Luminárias,"Cachoeira da Serra Grande"
Luminárias,"Cachoeira do Mandembe"
Luminárias,"Caverna da Serra Grande"
Luminárias,"Gruta da Pinguela"
"Maria da Fé","Azeite - Maria da Fé"
"Maria da Fé","Cachoeira do Zé Braga"
"Maria da Fé","Igreja Matriz Nossa Senhora de Lourdes"
Minduri,"Cachoeira do Vorney"
Minduri,"Cachoeira Quebra Chifres"
Minduri,"Igreja Matriz Sagrado Coração de Jesus"
Moeda,"Cachoeira do Paiolinho"
Moeda,"Poço do Limoeiro"
Moeda,"Serra da Moeda"
Nazareno,"Cachoeira da Usina"
Nazareno,"Igreja Nossa Senhora de Nazaré"
Nazareno,"Represa de Camargos"
Paraty,"Cabeça de Índio"
Paraty,"Cachaça - Paraty"
Paraty,"Cachoeira do Tobogã"
Paraty,"Cachoeira Pedra Branca"
Paraty,"Centro Histórico de Paraty"
Paraty,"City Tour em Paraty"
Paraty,"Escuna em Paraty"
Paraty,"Festival da Cachaça, Cultura e Sabores - Paraty"
"Passa Quatro","Cachoeira da Encruza"
"Passa Quatro","Cachoeira da Gomeira"
"Passa Quatro","Cachoeira da Gomeira"
"Passa Quatro","Cachoeira do Andorinhão"
"Passa Quatro","Casa de Cultura de Passa Quatro"
"Passa Quatro","Estação Ferroviária de Passa Quatro"
"Passa Quatro","Festival Gastronômico - Passa Quatro"
"Passa Quatro","Floresta Nacional de Passa Quatro"
"Passa Tempo","Cachoeira Dornelas"
"Passa Tempo","Igreja Matriz de Nossa Senhora da Glória"
"Passa Tempo","Trilha dos Bandeirantes"
"Piedade do Rio Grande","Cachoeira Rio Grande"
"Piedade do Rio Grande","Gruta Nossa Senhora da Piedade"
"Piedade do Rio Grande","Igreja Nossa Senhora do Rosário"
Piquiri,"Cachoeira da Fumaça"
Piquiri,"Vestígios da Estrada Real"
"Pouso Alto","Igreja Matriz Nossa Senhora da Conceição"
Prados,"Artesanato em Bichinho"
Prados,"Capela Nossa Senhora do Rosário"
Prados,"Capela Santo Antônio"
Prados,"Igreja Nossa Senhora da Penha de França"
Prados,"Serra São José"
"Resende Costa","Fazenda Salva Terra"
"Resende Costa","Igreja Matriz de Nossa Senhora da Penha de França"
"Resende Costa","Teatro Municipal de Resende Costa"
Ritápolis,"Cachoeira Jabuiú"
Ritápolis,"Igreja Nossa Senhora do Rosário"
Ritápolis,"Parque Floresta Nacional de Ritápolis"
Ritápolis,"Santuário Diocesano de Santa Rita de Cássia"
"Santa Cruz de Minas","Cachoeira do Bom Despacho"
"Santa Cruz de Minas",Cruzeiro
"Santa Cruz de Minas","Igreja Matriz de São Sebastião"
"Santa Cruz de Minas","Marco Zero da Estrada Real"
"Santa Cruz de Minas","Refúgio de Vida Silvestre Libélulas da Serra"
"Santo Antônio do Leite","Mirante da Pedra"
"São Bartolomeu","Doces de São Bartolomeu"
"São Bartolomeu","Floresta Estadual do Uaimií"
"São Bartolomeu","Igreja Nossa Senhora das Mercês"
"São Bartolomeu","Igreja São Bartolomeu"
"São João del Rei","Casa de Pedra"
"São João del Rei","Catedral Basílica Nossa Senhora do Pilar"
"São João del Rei","Festival Happy Hour - São João del Rei"
"São João del Rei","Igreja de Nossa Senhora das Mercês"
"São João del Rei","Igreja de São Francisco de Assis - São João del Rei"
"São João del Rei","Maria Fumaça São João del-Rei - Tiradentes"
"São João del Rei","Ponte da Cadeia"
"São João del Rei","Prefeitura Municipal"
"São Lourenço","Águas Minerais - São Lourenço"
"São Lourenço","Caminho do Artesanato"
"São Lourenço","Doces - São Lourenço"
"São Lourenço","Ermida Bom Jesus do Monte"
"São Lourenço","Estação Ferroviária de São Lourenço"
"São Lourenço","Igreja Matriz - Paroquia São Lourenço Martir"
"São Lourenço","Parque das Águas"
"São Lourenço","Trem das Águas"
"São Thomé das Letras","Cachoeira Antares"
"São Thomé das Letras","Cachoeira da Chuva"
"São Thomé das Letras","Cachoeira da Eubiose"
"São Thomé das Letras","Cachoeira da Lua"
"São Thomé das Letras","Cachoeira da Ricarda"
"São Thomé das Letras","Cachoeira do Flávio"
"São Thomé das Letras","Cachoeira do Paraíso"
"São Thomé das Letras","Cachoeira Vale das Borboletas"
"São Tiago","Biscoitos - São Tiago"
"São Tiago","Festa do Café com Biscoito - São Tiago"
"São Vicente de Minas","Cachoeira da Ponte do Garcia"
"São Vicente de Minas","Igreja Matriz de São Vicente Férrer"
"São Vicente de Minas","Igreja Nossa Senhora do Rosário"
