municipio,hotel,cod_caminho
"Rio de Janeiro","ibis Rio de Janeiro Santos Dumont",02
"Rio de Janeiro","Yoo2 Rio de Janeiro by Intercity",02
"Rio de Janeiro","ibis Copacabana Posto 5",02
"Rio de Janeiro","Nobile Hotel Copacabana Design",02
"Simão Pereira","Hotel Fazenda Morro Grande",02
"Simão Pereira","Hotel Green Hill",02
"Simão Pereira","ibis Juiz de Fora",02
"Simão Pereira","Hotel Comendador",02
"Simão Pereira","ibis Styles Tres Rios",02
"Simão Pereira","Premier Parc Hotel",02
"Simão Pereira","Trade Hotel",02
"Simão Pereira","Haras Morena Resort",02
"Simão Pereira","Victory Business Hotel",02
"Simão Pereira","Victory Suites",02
"Simão Pereira","AP CENTRAL",02
"Simão Pereira",AP-205,02
"Simão Pereira","Chácara Eni Barbosa",02
"Simão Pereira","Ritz Plaza Hotel",02
"Simão Pereira","Maxim Plaza Hotel",02
"Simão Pereira","Real Hotel",02
"Simão Pereira","Barato e confortável AP 104",02
"Simão Pereira","Para voce ou sua empresa 105",02
"Simão Pereira","Estadia Confortável AP 102",02
"Simão Pereira","AP Descanso ou trabalho 103",02
"Simão Pereira","130/302 AP 306 Um dois quartos dos seus sonhos",02
"Simão Pereira","130/101 Apartamento 106",02
"Três Rios","Hotel Comendador",02
"Três Rios","ibis Styles Tres Rios",02
"Três Rios","HOSTEL DAS ESTRELAS",02
"Três Rios","WTR CHALÉS",02
"Três Rios","Hotel Fazenda Morro Grande",02
"Três Rios","Sítio 1001 - Observe o mais belo céu do RJ",02
Aiuruoca,"Chalé das Corruiras",03
Aiuruoca,"POUSADA PARAISO DOS TUCANOS",03
Aiuruoca,"Pousada Alquimia",03
Aiuruoca,"Canto dos Pássaros",03
Aiuruoca,"Hospedagem Colinas",03
Aiuruoca,"Lenda da Montanha & Recanto do Lago",03
Aiuruoca,"RECANTO DO LEÃO",03
Aiuruoca,"Pousada Recanto do Ypê",03
Aiuruoca,"Pousada Recanto das Flores",03
Aiuruoca,"Casa amarela",03
Aiuruoca,"Paz , sossego e privacidade em Aiuruoca",03
Aiuruoca,"Chalé Vale do Cangalha",03
Aiuruoca,"Chácara Toca do Toco",03
Aiuruoca,"sitio para relaxar, piscina e churrasqueira",03
Aiuruoca,"Recanto do Leão",03
Aiuruoca,"RECANTO DO LEÃO",03
Andrelândia,"Pousada do Ribeirão",03
Andrelândia,"Pousada Fazenda das Bicas",03
Andrelândia,"Estalagem do Porto",03
Aparecida,"São Bento Palace Hotel",03
Aparecida,"Hotel Mãe Rainha",03
Aparecida,"Pousada Santa Cruz",03
Aparecida,"Ouro Minas Plaza Hotel",03
Aparecida,"Hotel Santo Graal",03
Aparecida,"Hotel Pousada da Capital da Fe",03
Aparecida,"Hotel São Gabriel",03
Aparecida,"Santa Catarina Hotel",03
Aparecida,"Pousada Jovimar",03
Aparecida,"Grande Hotel Londrina",03
Aparecida,"Pousada Recanto da Fé",03
Aparecida,"Hotel Pousada Recanto da Madá",03
Aparecida,"Pousada Santa Maria",03
Aparecida,"Pousada Brasil - Self Check-in",03
Aparecida,"Hotel Portobello",03
Aparecida,"Pousada Terras de Frei Galvão",03
Aparecida,"Pousada Coração de Jesus",03
Aparecida,"Hotel Porto dos Milagres",03
Aparecida,"Casa para hospedagem bairro nobre de Aparecida",03
Aparecida,"Pousada Aliança",03
Aparecida,"Chácara Bom Jesus",03
Aparecida,"Pousada Estrela de Davi",03
Aparecida,"Hotel Romaria Aparecida",03
Aparecida,"Hotel Pousada Rogai",03
Aparecida,"Hotel Mão de Fatima",03
Areias,"Chalé Bela Vista",03
Areias,"Graal Inn Hotéis",03
Areias,"Fazenda Casa Nova",03
Areias,"Pousada Sitio Barreirinha",03
Areias,"Chalé Acima das nuvens - Serra da bocaina",03
Areias,"Pousada Campo Alegre",03
Areias,"POUSADA CAMISA 10",03
Areias,"Lar da Tamara",03
Areias,"Hotel Chalés Terra Nova",03
Areias,"Pousada Encantus",03
Areias,"Encantu's Flats",03
Areias,"Casa de Férias para sua Família e seu Pet!",03
Areias,"Casa de Campo com piscina, sauna e rio privativo",03
Areias,"GRAAL INN ITATIAIA",03
Areias,"Casa ampla em penedo",03
Areias,"Hotel Casa Encantada",03
Areias,"Casa Dos Artistas",03
Areias,"Chalé Condominio Linda Vista",03
Areias,"Refúgio nas Montanhas",03
Areias,"Pousada Chiclé Penedo",03
Areias,"Chalé saí azul",03
Areias,"Chalé aconchegante para família no Centro",03
Areias,"Casa de Tijolinho Penedo-RJ",03
Areias,"Pousada Tapera",03
Areias,"Pousada Suarez",03
Baependi,"Pousada Cachoeirinha",03
Baependi,"Casa de campo Recanto Pedra Azul",03
Baependi,"Quinta da Ana",03
Baependi,"Loft no Circuito das Águas Minerais",03
Baependi,"Studio em Caxambu",03
Baependi,"Hotel Bragança",03
Baependi,"Recanto Trilha da Pesca",03
Baependi,"Pousada dos Tucanos",03
Baependi,"Hostel Montanha Sagrada",03
Baependi,"Studio em linda Área Preservada",03
Baependi,"Hotel Negreiros",03
Baependi,"Chalé das Corruiras",03
Baependi,"Hotel Colonial",03
Baependi,"Chalés Bela Vista",03
Baependi,"Pousada Sítio Terra Viva",03
Baependi,"APARTAMENTO ENCANTADOR NO CENTRO DE SÃO LOURENÇO-MG",03
Baependi,"casa de temporada",03
Baependi,"Apartamento no coração da cidade, a 5 minutos do Parque",03
Barroso,"Gold Hotel",03
Barroso,"Pouso do Bichinho 1",03
Barroso,"Pousada Cantagalo Bichinho MG",03
Barroso,"Casa de Adobe Casa de Temporada no Bichinho-MG",03
Barroso,"Pousada Cipo Artes",03
Barroso,"Pousada Quatro Estações",03
Barroso,"Casa Verde-Casa de Temporada no Bichinho",03
Barroso,"Hotel Aliança Barbacena",03
Barroso,"Hotel Miranelli",03
Barroso,"Chalés do Apolinário",03
Barroso,"Pousada Campestre Vila Tiradentes",03
Barroso,"ibis budget Barbacena",03
Barroso,"Flat dos Bandeirantes",03
