municipio,atracao,caminho
"Lavras Novas","Igreja Nossa Senhora dos Prazeres","Caminho Novo"
"Lavras Novas","Torresmo de Zé Loureto - Lavras Novas-Chapada","Caminho Novo"
"Lima Duarte","Igreja Matriz Nossa Senhora das Dores","Caminho Novo"
"Lima Duarte","Parque Estadual do Ibitipoca","Caminho Novo"
"Matias Barbosa","Capela do Rosário","Caminho Novo"
"Matias Barbosa","Labirinto de Túneis","Caminho Novo"
"Matias Barbosa","Memorial Histórico Cultural","Caminho Novo"
"Matias Barbosa","Represa Monte Alegre","Caminho Novo"
Olaria,"Cachoeira do Areal","Caminho Novo"
"Oliveira Fortes","Cachoeira Usina","Caminho Novo"
"Ouro Branco","Cachoeira do Itatiaia","Caminho Novo"
"Ouro Branco","Capela de Nossa Senhora Mãe dos Homens","Caminho Novo"
"Ouro Branco","Casa de Tiradentes (Fazenda Carreiras)","Caminho Novo"
"Ouro Branco","Festival da Batata - Ouro Branco","Caminho Novo"
"Ouro Branco","Igreja Matriz de Santo Antônio de Ouro Branco","Caminho Novo"
"Ouro Branco",Mirante,"Caminho Novo"
"Ouro Branco","Parque Estadual Serra do Ouro Branco","Caminho Novo"
"Paraíba do Sul","Igreja Matriz de São Pedro e São Paulo","Caminho Novo"
"Paraíba do Sul","Palacete Barão Ribeiro de Sá","Caminho Novo"
"Paraíba do Sul","Parque das Águas Minerais Salutaris","Caminho Novo"
"Paraíba do Sul","Ponte da Parayba","Caminho Novo"
"Paraíba do Sul","Praça Marquês de São João Marcos","Caminho Novo"
"Paraíba do Sul","Santuário Bom Jesus de Matosinhos","Caminho Novo"
"Paraíba do Sul","Theatro Municipal Mariano Aranha","Caminho Novo"
Petrópolis,"Catedral São Pedro de Alcântara","Caminho Novo"
Petrópolis,"Circuito da Cerveja - Petrópolis","Caminho Novo"
Petrópolis,"Museu Imperial","Caminho Novo"
Petrópolis,"Palácio de Cristal","Caminho Novo"
Petrópolis,"Parque Nacional da Serra dos Órgãos","Caminho Novo"
Petrópolis,"Petrópolis Gourmet","Caminho Novo"
Petrópolis,"Restaurantes - Petrópolis","Caminho Novo"
Petrópolis,"Vale dos Gourmets","Caminho Novo"
Piranga,"Rio Piranga","Caminho Novo"
Piranga,"Santuário Bom Jesus do Matosinhos","Caminho Novo"
"Presidente Bernardes","Igreja Matriz de Santo Antônio","Caminho Novo"
Queluzito,"Cachoeira do Maciel","Caminho Novo"
Queluzito,"Igreja Matriz de Santo Amaro","Caminho Novo"
Ressaquinha,"Igreja Matriz de São José","Caminho Novo"
"Santana do Garambéu","Cachoeira da Água Limpa","Caminho Novo"
"Santana do Garambéu","Cachoeira do Capivari","Caminho Novo"
"Santana dos Montes","Cachoeira do Santinho","Caminho Novo"
"Santana dos Montes","Cervejas Artesanais - Santana dos Montes","Caminho Novo"
"Santana dos Montes","Fazenda do Antônio Quirino","Caminho Novo"
"Santana dos Montes","Hotéis-fazenda em Santana dos Montes","Caminho Novo"
"Santana dos Montes","Igreja Matriz de Santana dos Montes","Caminho Novo"
"Santana dos Montes","Praça da Matriz","Caminho Novo"
"Santana dos Montes","Vinho - Santana dos Montes","Caminho Novo"
"Santa Rita de Ibitipoca","Cachoeira do Maurício","Caminho Novo"
"Santa Rita de Ibitipoca","Cachoeira do Zé Santana","Caminho Novo"
"Santos Dumont","Museu de Cabangu  (Santos Dumont)","Caminho Novo"
"Santos Dumont","Queijo do Reino - Santos Dumont","Caminho Novo"
"Santos Dumont","Represa da Ponte Preta","Caminho Novo"
"Senhora de Oliveira","Cachoeira da Posse","Caminho Novo"
"Simão Pereira","Pedra do Paraibuna","Caminho Novo"
"Simão Pereira","Registro do Paraibuna","Caminho Novo"
Aiuruoca,"Antiga Estação Ferroviária do Angahy","Caminho Velho"
Aiuruoca,"Cachoeira da Esperança","Caminho Velho"
Aiuruoca,"Cachoeira das Fadas","Caminho Velho"
Aiuruoca,"Cachoeira do Batuque","Caminho Velho"
Aiuruoca,"Cachoeira do Fundo","Caminho Velho"
Aiuruoca,"Cachoeira do Tiziu","Caminho Velho"
Aiuruoca,"Parque Estadual da Serra do Papagaio","Caminho Velho"
Alagoa,"Cachoeira do Zé Pena","Caminho Velho"
Alagoa,"Cachoeira Ouro Fala","Caminho Velho"
Alagoa,"Queijo Artesanal - Alagoa","Caminho Velho"
Andrelândia,"Cachoeira do Apiário","Caminho Velho"
Andrelândia,"Matriz Nossa Senhora do Porto da Eterna Salvação","Caminho Velho"
Andrelândia,"Mirante do Cristo Redentor","Caminho Velho"
Andrelândia,"Parque Arqueológico da Serra de Santo Antônio","Caminho Velho"
Andrelândia,"Pedra do Serrote","Caminho Velho"
Aparecida,"Santuário Nacional de Nossa Senhora Aparecida","Caminho Velho"
Areias,"Cachoeira da Caroba","Caminho Velho"
Areias,"Cachoeira do Inácio","Caminho Velho"
Areias,"Cachoeira Santa Terezinha","Caminho Velho"
Areias,"Serra da Bocaina","Caminho Velho"
Baependi,"Cachoeira da Usina","Caminho Velho"
Baependi,"Cachoeira do Caixão Branco","Caminho Velho"
Baependi,"Cachoeira do Caldeirão","Caminho Velho"
Baependi,"Cachoeira do Espraiado do Gamarra","Caminho Velho"
Baependi,"Cachoeira do Inferninho","Caminho Velho"
Baependi,"Cachoeira do Juju","Caminho Velho"
Baependi,"Cachoeira do Moinho","Caminho Velho"
Baependi,"Cachoeira Honorato Ferreira","Caminho Velho"
Bananal,"Estação Ferroviária de Bananal","Caminho Velho"
Bananal,"Solar Aguiar Vallim","Caminho Velho"
Barroso,"Cachoeira da Lajinha","Caminho Velho"
Barroso,"Igreja Matriz Santana","Caminho Velho"
Barroso,"Praça do Cruzeiro","Caminho Velho"
Barroso,"Réplica da Capela de Santana","Caminho Velho"
Barroso,"Vestígios da Estrada Real","Caminho Velho"
"Belo Vale","Cachoeira Boa Esperança","Caminho Velho"
"Belo Vale","Caminho Belo Vale - Itabirito","Caminho Velho"
"Cachoeira do Campo","Matriz de Nossa Senhora de Nazaré","Caminho Velho"
"Cachoeira do Campo","Panelas de Pedra Sabão - Cachoeira do Campo","Caminho Velho"
